,Team Score,Opp Score,Home/Away,Opponent,Team FG%,Opponent FG%,Team 3P%,Opponent 3P%,Team AST,Team TOV,Opponent AST,Opponent TOV,Team FGA,Team FTA,Opponent FGA,Opponent FTA,Team ORB,Opponent ORB,ORtg,DRtg,Ast_Tov_Team,Ast_Tov_Opp,Possession,Team,Opponent_num,prev_ORtg,prev_DRtg
284,103,99,0,MIA,0.471,0.458,0.333,0.258,32,16,24,6,87,17,83,25,15,9,107.31961448293829,103.15186246418341,2.0,4.0,95.975,18,5,113.43354265105013,112.64578701648698
285,121,100,1,LAC,0.505,0.4370000000000001,0.393,0.25,29,9,21,12,99,13,87,26,15,8,112.80736510896169,93.22922736277822,3.2222222222222223,1.75,107.2625,18,17,113.80504853598643,112.49136181578741
286,93,102,0,PHO,0.386,0.413,0.32299999999999995,0.308,25,15,29,9,88,22,92,25,13,14,95.22590554204531,104.44131575579165,1.6666666666666667,3.2222222222222223,97.6625,18,25,113.3629160654021,110.71374069717842
287,116,113,1,POR,0.556,0.455,0.409,0.353,21,11,25,9,81,20,88,22,4,8,122.13740458015268,118.9786785996315,1.9090909090909087,2.7777777777777777,94.975,18,23,112.30250922136827,108.70965941305717
288,111,142,1,GSW,0.457,0.6,0.412,0.5379999999999999,30,8,38,10,92,16,95,10,9,12,114.8176881303336,146.88388931988624,3.75,3.8,96.675,18,30,111.87283791807494,107.94462862688813
289,135,105,1,CHI,0.521,0.473,0.5,0.35700000000000004,34,7,27,12,96,20,93,11,13,16,137.24742661075103,106.7479984750286,4.857142857142857,2.25,98.3625,18,11,111.04541005878878,109.02559932602426
290,124,102,1,CLE,0.562,0.486,0.405,0.345,33,11,20,12,89,11,72,26,12,5,123.03112985241226,101.20302616891978,3.0,1.6666666666666667,100.7875,18,15,111.02099848771113,108.90888230544134
291,108,114,0,UTA,0.477,0.4320000000000001,0.29600000000000004,0.413,20,14,28,13,88,20,88,27,12,12,107.28920899043835,113.24972060101824,1.4285714285714286,2.1538461538461537,100.6625,18,21,112.21732443807817,109.83579221664894
292,132,95,1,PHO,0.5,0.421,0.417,0.233,26,12,20,15,94,29,76,26,16,2,118.31932773109243,85.15406162464986,2.1666666666666665,1.3333333333333333,111.5625,18,25,113.41226985520377,111.21098248002801
293,126,110,1,PHI,0.511,0.418,0.333,0.389,27,10,29,12,94,29,91,27,11,11,117.42777260018637,102.51630941286112,2.7,2.4166666666666665,107.3,18,6,115.2936717788349,111.4917383696211
