Team Score,Opp Score,Home/Away,Opponent,Team FG%,Opponent FG%,Team 3P%,Opponent 3P%,Team AST,Team TOV,Opponent AST,Opponent TOV,Team FGA,Team FTA,Opponent FGA,Opponent FTA,Team ORB,Opponent ORB,ORtg,DRtg,Ast_Tov_Team,Ast_Tov_Opp,Possession,Team,Opponent_num
95,115,1,BOS,0.425,0.512,0.25,0.303,23,14,30,18,87,20,84,25,6,6,88.21822402785837,106.79048171793384,1.6428571428571428,1.6666666666666667,107.6875,16,3
97,105,1,NOP,0.458,0.404,0.35700000000000004,0.375,22,25,23,13,83,15,89,35,11,13,95.21472392638037,103.06748466257669,0.88,1.7692307692307692,101.875,16,28
111,122,0,DAL,0.467,0.542,0.3670000000000001,0.5479999999999999,25,11,25,14,90,22,83,19,11,6,107.00084347511745,117.60453066634531,2.272727272727273,1.7857142857142858,103.7375,16,22
122,110,0,PHO,0.48,0.462,0.444,0.316,21,9,20,19,98,24,91,25,14,18,113.34339797932877,102.19486703054231,2.333333333333333,1.0526315789473684,107.6375,16,25
116,118,1,PHI,0.5,0.519,0.2,0.417,24,15,28,16,88,28,79,32,7,4,103.34075723830736,105.12249443207126,1.6,1.75,112.25,16,6
101,129,0,DEN,0.433,0.536,0.3,0.447,17,16,36,15,97,19,84,25,16,6,90.218847699866,115.23001339883876,1.0625,2.4,111.95,16,18
100,139,0,HOU,0.462,0.5489999999999999,0.12,0.419,16,22,37,19,91,18,91,32,9,13,88.98776418242491,123.69299221357063,0.7272727272727273,1.947368421052632,112.375,16,19
103,107,1,MIL,0.452,0.488,0.379,0.16699999999999998,24,14,22,14,84,26,82,30,11,10,102.1825396825397,106.15079365079364,1.7142857142857142,1.5714285714285714,100.8,16,1
120,125,1,CLE,0.516,0.529,0.407,0.361,23,5,19,10,91,19,85,27,10,10,120.69399044505907,125.72290671360321,4.6,1.9,99.425,16,15
109,133,1,LAC,0.467,0.536,0.3,0.455,23,8,23,15,92,27,84,32,14,13,104.79509674317991,127.8692464847975,2.875,1.5333333333333334,104.0125,16,17
